,title,image,lprice,link,category1,category2,category3,category4
0,탑텐 TOPTEN 공용 플란넬 라운지웨어 SET-UP MSC4UI3001,https://shopping-phinf.pstatic.net/main_4227450/42274506256.20230828071949.jpg,18280,https://search.shopping.naver.com/gate.nhn?id=42274506256,패션의류,남성언더웨어/잠옷,잠옷/홈웨어,
1,LE TROIS 23F W 이보영의 르투아 리얼 폭스퍼 롱구스다운,https://shopping-phinf.pstatic.net/main_4482361/44823613200.20231222201716.jpg,28300,https://search.shopping.naver.com/gate.nhn?id=44823613200,패션의류,여성의류,점퍼,
2,겨울 여자슬랙스 기모 밴딩슬랙스 일자 키작녀바지,https://shopping-phinf.pstatic.net/main_4479417/44794178612.20231223091336.jpg,32900,https://search.shopping.naver.com/gate.nhn?id=44794178612,패션의류,여성의류,바지,
3,올리브데올리브 폭스퍼 후드 다운 롱 패딩 YP3WH830,https://shopping-phinf.pstatic.net/main_4314822/43148221029.20231122154755.jpg,108270,https://search.shopping.naver.com/gate.nhn?id=43148221029,패션의류,여성의류,점퍼,
4,어니우니 20수 무지 반팔 티셔츠 기본 라운드 면티,https://shopping-phinf.pstatic.net/main_3267216/32672162618.20220531091838.jpg,8400,https://search.shopping.naver.com/gate.nhn?id=32672162618,패션의류,남성의류,티셔츠,
5,리바이스 남성 568 스테이 루즈 핏 카펜터 워크퀘어 진 55849-0033,https://shopping-phinf.pstatic.net/main_4428180/44281809580.20240104122823.jpg,57770,https://search.shopping.naver.com/gate.nhn?id=44281809580,패션의류,남성의류,청바지,
6,판도라by비비안 여성 팬티 햄라인 심리스 누디 면 모달 햄팬티세트,https://shopping-phinf.pstatic.net/main_8234815/82348150829.5.jpg,15900,https://search.shopping.naver.com/gate.nhn?id=82348150829,패션의류,여성언더웨어/잠옷,팬티,
7,폭스클럽 잠옷 빅사이즈 피치기모 수면 가족잠옷 가을 겨울잠옷 커플 파자마,https://shopping-phinf.pstatic.net/main_8023675/80236754211.10.jpg,10900,https://search.shopping.naver.com/gate.nhn?id=80236754211,패션의류,여성언더웨어/잠옷,잠옷/홈웨어,
8,스투시 백로고 기모 후드티 P335142290,https://shopping-phinf.pstatic.net/main_4396147/43961473390.20231111110035.jpg,39900,https://search.shopping.naver.com/gate.nhn?id=43961473390,패션의류,남성의류,티셔츠,
9,폴햄 여성 보아퍼 롱 패딩 PHD4JP2469LKH,https://shopping-phinf.pstatic.net/main_4389778/43897781986.20231117143644.jpg,39900,https://search.shopping.naver.com/gate.nhn?id=43897781986,패션의류,여성의류,점퍼,
10,온앤온 벨티드 구스 다운 NEP3XMA05,https://shopping-phinf.pstatic.net/main_4500804/45008041081.20240105024644.jpg,135350,https://search.shopping.naver.com/gate.nhn?id=45008041081,패션의류,여성의류,점퍼,
11,캘빈클라인 언더웨어 CK 남자 팬티 속옷 드로즈 사각 면 세트 모음전,https://shopping-phinf.pstatic.net/main_8290236/82902367973.4.jpg,38800,https://search.shopping.naver.com/gate.nhn?id=82902367973,패션의류,남성언더웨어/잠옷,팬티,
12,디키즈 카펜터 워크팬츠 1939 루즈핏 치노팬츠 더블니,https://shopping-phinf.pstatic.net/main_8360410/83604104859.2.jpg,62900,https://search.shopping.naver.com/gate.nhn?id=83604104859,패션의류,남성의류,바지,
13,TRY BYC 히트텍 히트택 내복 발열내의 상의 타이즈 NDM890225,https://shopping-phinf.pstatic.net/main_4292320/42923203932.20230929011529.jpg,15000,https://search.shopping.naver.com/gate.nhn?id=42923203932,패션의류,남성언더웨어/잠옷,시즌성내의,내복
14,지오다노 코듀로이 와이드 팬츠 413910,https://shopping-phinf.pstatic.net/main_4436946/44369468619.20231201120406.jpg,26100,https://search.shopping.naver.com/gate.nhn?id=44369468619,패션의류,여성의류,바지,
15,듀엘 폭스퍼 후드 구스다운 롱패딩 D234PSG270 155512,https://shopping-phinf.pstatic.net/main_4217923/42179236473.20231215164507.jpg,122200,https://search.shopping.naver.com/gate.nhn?id=42179236473,패션의류,여성의류,점퍼,
16,르까프 23FW 남성 경량패딩 조끼 자켓 2종세트,https://shopping-phinf.pstatic.net/main_4325848/43258486920.20231122163713.jpg,28830,https://search.shopping.naver.com/gate.nhn?id=43258486920,패션의류,남성의류,조끼,
17,LAINE 니트 남자반폴라니트 겨울 워셔블 하찌 캐시 터틀넥니트,https://shopping-phinf.pstatic.net/main_4367118/43671185032.20231103011901.jpg,26900,https://search.shopping.naver.com/gate.nhn?id=43671185032,패션의류,남성의류,니트/스웨터,
18,더엣지 23FW 폭스퍼 야상 롱 구스다운,https://shopping-phinf.pstatic.net/main_4393823/43938238740.20231225123401.jpg,210340,https://search.shopping.naver.com/gate.nhn?id=43938238740,패션의류,여성의류,점퍼,
19,제너럴아이디어 WOMAN GNRL 에센셜 가디건 5COL WBC3L04503,https://shopping-phinf.pstatic.net/main_4171118/41711185376.20240103082608.jpg,34100,https://search.shopping.naver.com/gate.nhn?id=41711185376,패션의류,여성의류,카디건,
20,메이플라워 긴팔 빅사이즈 홈웨어 순면 남자 잠옷 파자마 세트,https://shopping-phinf.pstatic.net/main_8106440/81064405708.10.jpg,41800,https://search.shopping.naver.com/gate.nhn?id=81064405708,패션의류,남성언더웨어/잠옷,잠옷/홈웨어,
21,트루젠 남성 정장 가을 겨울 수트 양방향 울 스판 남자 양복 결혼 면접 블랙,https://shopping-phinf.pstatic.net/main_8218321/82183217308.8.jpg,119000,https://search.shopping.naver.com/gate.nhn?id=82183217308,패션의류,남성의류,정장세트,
22,트루젠 남자 코트 겨울 롱 하프 구스다운 패딩 울 캐시미어 모직 남성 슬림핏 오버핏,https://shopping-phinf.pstatic.net/main_8213870/82138703883.2.jpg,149000,https://search.shopping.naver.com/gate.nhn?id=82138703883,패션의류,남성의류,코트,
23,Calvin Klein Underwear 5+1  남자팬티 드로즈 속옷,https://shopping-phinf.pstatic.net/main_3704866/37048664419.20230731003103.jpg,11800,https://search.shopping.naver.com/gate.nhn?id=37048664419,패션의류,남성언더웨어/잠옷,팬티,
24,JAJU 여 보드라운 피치스킨 체크 파자마 세트  J213401003,https://shopping-phinf.pstatic.net/main_4242393/42423931044.20231012011022.jpg,26900,https://search.shopping.naver.com/gate.nhn?id=42423931044,패션의류,여성언더웨어/잠옷,잠옷/홈웨어,
25,폭스 카라 구스 다운 듀엘 다운 1020277 55 라이트블루 LB D234PSG271 1020277,https://shopping-phinf.pstatic.net/main_4349127/43491276962.20240104112018.jpg,105910,https://search.shopping.naver.com/gate.nhn?id=43491276962,패션의류,여성의류,점퍼,
26,수면잠옷 겨울 커플잠옷 원피스 피치기모 여성 파자마,https://shopping-phinf.pstatic.net/main_8267472/82674727081.89.jpg,18900,https://search.shopping.naver.com/gate.nhn?id=82674727081,패션의류,여성언더웨어/잠옷,잠옷/홈웨어,
27,심리스브라 노와이어 수면 브라렛 스포츠 여성 속옷 브라 세트 무봉제,https://shopping-phinf.pstatic.net/main_8481095/84810956083.jpg,12900,https://search.shopping.naver.com/gate.nhn?id=84810956083,패션의류,여성언더웨어/잠옷,브라,
28,LE TROIS 23FW 르투아 FAUX 밍크퍼 후드자켓,https://shopping-phinf.pstatic.net/main_4333541/43335412337.20231019143349.jpg,50730,https://search.shopping.naver.com/gate.nhn?id=43335412337,패션의류,여성의류,재킷,
